left,right,count
440.0000000000,465.8000000000,195
465.8000000000,491.6000000000,2930
491.6000000000,517.4000000000,16118
517.4000000000,543.2000000000,48680
543.2000000000,569.0000000000,82891
569.0000000000,594.8000000000,104625
594.8000000000,620.6000000000,96154
620.6000000000,646.4000000000,74591
646.4000000000,672.2000000000,50606
672.2000000000,698.0000000000,31629
698.0000000000,723.8000000000,19786
723.8000000000,749.6000000000,10946
749.6000000000,775.4000000000,5720
775.4000000000,801.2000000000,2934
801.2000000000,827.0000000000,1116
827.0000000000,852.8000000000,631
852.8000000000,878.6000000000,261
878.6000000000,904.4000000000,120
904.4000000000,930.2000000000,34
930.2000000000,956.0000000000,33
