left,right,count
414.0000000000,444.6500000000,20
444.6500000000,475.3000000000,1173
475.3000000000,505.9500000000,15076
505.9500000000,536.6000000000,75858
536.6000000000,567.2500000000,173479
567.2500000000,597.9000000000,218416
597.9000000000,628.5500000000,201746
628.5500000000,659.2000000000,140551
659.2000000000,689.8500000000,83347
689.8500000000,720.5000000000,47422
720.5000000000,751.1500000000,24098
751.1500000000,781.8000000000,10975
781.8000000000,812.4500000000,4998
812.4500000000,843.1000000000,1944
843.1000000000,873.7500000000,648
873.7500000000,904.4000000000,202
904.4000000000,935.0500000000,56
935.0500000000,965.7000000000,18
965.7000000000,996.3500000000,2
996.3500000000,1027.0000000000,3
